video_id,comment_id,parent_comment_id,author,content,likes,created_time,collection_time
ftQZo7XaTOA&t=1231s,UgxUZIEAALMtGikGx3F4AaABAg,,@jocoding,"뒷 부분이 싱크가 안맞는 오류가 있어서 아래 재생목록을 통해 분할된 강의 수강을 권장드립니다.
https://www.youtube.com/playlist?list=PLU9-uwewPMe05-khW3YcDEaHMk_qA-7lI

교재: 점프 투 파이썬
https://link.coupang.com/a/bIrISW
(이 링크는 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다)
위키독스: https://wikidocs.net/book/1

목차
00:00:00 강의 소개
00:00:16 01장 파이썬이란 무엇인가?
00:51:46 02장 파이썬 프로그래밍의 기초, 자료형 (1) - 숫자형, 문자열, 리스트
02:01:11 02장 파이썬 프로그래밍의 기초, 자료형 (2) - 튜플, 딕셔너리, 집합, 불
03:04:09 03장 프로그램의 구조를 쌓는다! 제어문 - 조건문 if, 반복문 for, while
04:18:12 04장 파이썬의 입출력 - 함수, 사용자 입출력, 파일 읽고 쓰기, 프로그램의 입출력
05:33:45 05장 파이썬 날개 달기 - 클래스, 모듈, 패키지, 예외 처리, 내장 함수, 라이브러리
07:01:58 06장 파이썬 프로그래밍, 어떻게 시작해야 할까?
07:29:24 07장 파이썬 날아오르기 - 유니코드, 클로저, 데코레이터, 이터레이터, 제너레이터
07:59:21 08장 정규표현식
08:37:58 VVIP 후원 감사 인사

VVIP 멤버십 후원
빵쌤의 알고리즘님, 그림자그림자님, 라다님, 차딩Chading TV님, 아부심벨님, prochild님, turtleday터틀데이님, AI Beauty Artist님, eyuri chi님, 밤B님, 정진균님, 서보성님, NG K님, Tae hwan Kim님, 엠이에스코리아님, 완벽한올챙이님 감사드립니다.
https://www.youtube.com/@jocoding/join

[2024 통합본 기념 점프 투 파이썬 공부 다짐 댓글 이벤트 당첨자]
당첨을 축하드립니다! 책은 이지스퍼블리싱 출판사에서 이번 주 중으로 보내주실 예정입니다.
점프 투 파이썬 책(20명)
@que_bic
@jjdjimv
@user-tx6rx5jq9o
@BUNGKOOKI
@Kimramen123
@gichan-song
@juhwangdy
@castlejunis7039
@user-ix7dt7nr6x
@zzangkim1596
@chanhood
@kkchong21
@kylekim9079
@hanakim2678
@20918이정우
@user-lr1lf7bt3p
@insaneah6714
@wist000
@enos9149
@youngjunlee5028",53,1년 전(수정됨),2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,A5WBgffoRBHA5tcpBPDKIo,UgxUZIEAALMtGikGx3F4AaABAg,@키_작은_꼬마,앗! 아쉽게도 당첨 못됐네요 ㅠㅠ 그래도 교보문고가서 당장 책사서 공부해볼게요★,0,1년 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,A5WBgffoRBHA5tfX2Z8taV,UgxUZIEAALMtGikGx3F4AaABAg,@윤zi존-u7v,감사합니다 꼭 열심히 하겠습니다!!,1,1년 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,A5WBgffoRBHA5xOQeCrVkW,UgxUZIEAALMtGikGx3F4AaABAg,@hjunjour,우와 너무 감사합니다!!! 열심히 할게요️,0,1년 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,A5WBgffoRBHA5zfXRt28IK,UgxUZIEAALMtGikGx3F4AaABAg,@kkchong21,@jocoding  진짜 감사합니다! 🥹🥹🥹 열심히 볼게요,0,1년 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,UgxIPadwDvL_H6g_KeB4AaABAg,,@castlejunis7039,"안녕하세요. 3년전 독학으로 '코딩을 배우자!' 마음을 먹고 조코딩님 영상을 많이 시청하며 보고 배웠습니다. 멥버십도 가입해서 열심히 하였지만, 컴퓨터와 전혀 상관없는 업무를 하고 있었고, 두 아이의 아빠로 퇴근 후 정신없이 지나다 보니 점점 코딩과 멀어지고 손을 놓게 되었고 아쉽게도 3개월만에 포기하고 말았습니다. 하지만 구독 알림을 해 놓고 있어서 코딩관련 영상과 AI관련 소식 등을 들으며 '꼭 다시 해보자' 마음을 먹고 있었습니다. 오늘 아침도 습관처럼 유튜브를 열고 조코딩님 알림을 받고나서 '언제까지 마음만 먹을래 지금이야 다시 하자' 마음을 먹게 되었습니다. 아이들 밥 챙겨주고 지금 영상을 보고 있습니다. 다시 시작하니 재미있네요. 첫 목표는 이영상 10회 반복해서 보기 입니다. 항상 좋은 영상을 만들어주셔서 감사합니다.",38,1년 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,UgyTZOL3_-wYxcF9V-54AaABAg,,@동해-u6b,"67세 노장입니다. 늦게 시작한 파이썬 공부, 
일단 책은 구입해서 먼저 보고 있으나 부족한 부분은 영상으로 익혀갈 생각입니다. 
전공과 전혀 다른 분야지만 열심히 배우겠습니다. 감사합니다",23,3개월 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,AKxRvA5zm5ZAMwJacya9Rs,UgyTZOL3_-wYxcF9V-54AaABAg,@닭트넘먹방,"파이팅입니다
저도시작합니다",0,2개월 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,AKxRvA5zm5ZANU3zsDvZuX,UgyTZOL3_-wYxcF9V-54AaABAg,@시원-r9u,"탁월한 선택을 하셨습니다. 
노년에 취미 생활로는 최고랍니다...",1,1개월 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,UgxzSokVTK29Jab-3zB4AaABAg,,@초보사무장,현재 법무법인에서 사무장으로 일하고 있습니다. 내적으로는 업무효율화와 외적으로는 법이 어려운 의뢰인들을 위한 시스템을 구축하기위해 노력중입니다. 열심히 공부해보겠습니다!,14,1년 전,2025-11-20 13:13:20
