video_id,comment_id,author,content,parent_comment_id,likes,created_time,collection_time,valid_from_time,valid_to_time
FbXQmI7IkZg,UgzaT4wKd_VVTygH0Cl4AaABAg,@JasonBear-i2z,rust를 안 쓰는게 아니라 못 씁니다. python 같은 높은 추상화 수준의 언어가 없었다면 대부분의 리서치나 데이터 사이언스 업무도 엔지니어가 따로 붙어서 구현을 대신 해줬어야 했을 거에요.,,19,1개월 전,2025-11-26 17:42:11,2025-11-26 17:42:11,
FbXQmI7IkZg,UgxnJ4Z8eKUlGkf9EjV4AaABAg,@kenyoon2769,"데이터 사이언티스트 관점에서 수학적 모델을 프로그램으로 구현할 때 계산 오버헤드가 크냐 작냐는 애초에 고려대상이 아닐 때가 많아서요. 후보 알고리즘을 주어진 데이터셋에 적용해보고 안되면 다시 짜는 걸 반복해야 하는데 모델 학습시키는데 0.1초가 걸리냐 10초가 걸리냐 보다는 얼마나 빨리 아이디어를 쉽게 구현할 수 있느냐가 중요하고 그런 의미에서 DS, ML 쪽에서는러스트나 씨가 파이썬을 완전히 대체하기는 어려울 거 같아요.",,78,2개월 전,2025-11-26 17:42:11,2025-11-26 17:42:11,
FbXQmI7IkZg,UgxJILnto24rQJmsb9V4AaABAg,@eclipse4419,"용도가 다르기 때문에  조금 먼 이야기 같네요.  C++,Rust, Python 다 쓰는데 Rust가 어느쪽에 가깝냐고 하면 아무래도 c++임 , 구현 속도가 원래도 빨랐는데 LLM 학습데이터가 파이썬이 압도적이라 Rust는 아직도 갈 길이 멀다고 생각",,23,2개월 전,2025-11-26 17:42:11,2025-11-26 17:42:11,
FbXQmI7IkZg,UgxGMwwpBJQVHprSqKh4AaABAg,@건강나라-f3v,전 오히려 파이썬으로 가고 있습니다.,,52,2개월 전,2025-11-26 17:42:11,2025-11-26 17:42:11,
FbXQmI7IkZg,Ugz71D8A7qfu_EoE4WZ4AaABAg,@Writion,Python 라이브러리는 C/C++로 된 게 많기도 하고 rust가 뜬다 뜬다 하지만 결국 레거시를 이겨내진 못한지라 rust가 python을 대체하기는 어렵지 않나 싶습니다 특히 연구 분야는 효율성보다 안정성을 중시하는데 굳이 검증되지도 않았고 기존 라이브러리 등과 호환되지도 않을 rust로 넘어가는 도박수를 두진 않을 것 같네요,,10,2개월 전,2025-11-26 17:42:11,2025-11-26 17:42:11,
FbXQmI7IkZg,Ugyr4s3nv04m6FXGSB94AaABAg,@infested_pigeon,C를 메인으로 쓰고 파이썬을 보조로 쓰는 입장에서 러스트는 진짜 계륵같음...,,12,2개월 전,2025-11-26 17:42:11,2025-11-26 17:42:11,
FbXQmI7IkZg,Ugz0EBQQjAXDKXdLUI54AaABAg,@yusintv,자 다시 파이썬 드가자,,22,2개월 전,2025-11-26 17:42:11,2025-11-26 17:42:11,
FbXQmI7IkZg,UgztrTtUO8c1mS3CdGZ4AaABAg,@박헌남,예전 JS의 과도기처럼 파이썬도 이제 변화의 순간을 맞이해야겠네요. JS도 뜯어보면 C가 기반이기 때문에 지금 래퍼 역할하는 파이썬과 큰 차이가 없어 운영만 잘해도 대중들에게 인기있는 언어로 남아 있을거 같아요.,,17,2개월 전,2025-11-26 17:42:11,2025-11-26 17:42:11,
FbXQmI7IkZg,UgxNg5KtTa05QyBEiqp4AaABAg,@kj23561-h,파이썬은 애초에 래핑언어로 인기를 얻은거라.. 러스트가 파이썬을 대체하려면 다른 언어를 래핑해서 라이브러리 배포하기 편한 환경인지도 중요함.,,65,2개월 전,2025-11-26 17:42:11,2025-11-26 17:42:11,
FbXQmI7IkZg,UgxRKlC3dSHoB7M4ioB4AaABAg,@꾸욱꾸욱꼬르륵,"파이썬의 한계를 느끼는 사용자가 점점 더 늘어나고 있다는 뜻은

파이썬을 그만큼 잘 활용하고 있는 사용자가 매우 많아 졌다는 뜻으로 해설됨",,4,1개월 전,2025-11-26 17:42:11,2025-11-26 17:42:11,
FbXQmI7IkZg,UgxfpbJNgxqRDWJcKSx4AaABAg,@ykjeong8399,"코어 프로그래밍은 적고, 업무는 파이썬으로 한다.
즉, 일은 파이썬이 많고, 코어 프로그래밍일은 거의 없다...",,5,1개월 전,2025-11-26 17:42:11,2025-11-26 17:42:11,
FbXQmI7IkZg,Ugyt0NLt3pIYVonhJQR4AaABAg,@LemonFrult,성능 좋은 언어보단 빠르게 개발하는 언어가 잘 살아남는거 같아요...,,45,2개월 전,2025-11-26 17:42:11,2025-11-26 17:42:11,
FbXQmI7IkZg,UgxprS82g8WfIeud07F4AaABAg,@FelCh-1234,현재 풀스택에서 처음 prototype은 빠르게 python으로 만들고 performance bottleneck 생기는 구간이나 cost가 문제되는 구간을 golang으로 빠르게 옮겨가고 있습니다.,,2,2개월 전,2025-11-26 17:42:11,2025-11-26 17:42:11,
FbXQmI7IkZg,Ugxz2KfrsF4fjSmAVpV4AaABAg,@changmo1613,"38년 가까이 코딩만 하고 있습니다.
C/C++ 90% 나머지 10%는 Java, JavaScript, PHP 등등의 웹기반 언어들을 사용합니다.
그러다 최근 2-3달 정도 Rust를 이용한 데스크톱 앱을 작성하고 있습니다.

Java를 쓰면서 잘 만들어졌긴 한데, C/C++을 대체하긴 어렵다고 느꼈는데,
Rust는 C/C++을 대체하고 남겠다는 생각이 들더군요.
문법이 조금 짜증나긴 하지만, 제공하는 여러 장점이 너무 탁월하게 좋아서,
앞으로 새로 작성하는 프로그램은 무조건 Rust로 작성할 예정입니다.

다만 매우 많은 언어를 사용하면서 대부분의 언어를 며칠 만에 그럭저럭 사용할 수 있었던 것에 비하면,
Rust는 며칠이 아닌 몇 주 정도 걸렸던 것 같습니다.
아무래도 C/C++에서는 개발자가 직접 처리하던 예외 처리나 메모리 관련을 언어 자체에서 지원하기 때문에,
이 것 때문에 언어가 매우 경직된 형태를 띄어서 그런 것인데,
그래도 그 모든 불편함을 감수할 정도로 충분한 강점을 제공하고 있네요.

역시 가장 좋은 것은 Cargo를 통한 잘 구성된(여전히 .dll 헬과 같은 crate의존성 문제들이 있긴 하지만 그럭저럭 방법이 있고요^^;) 패키지 구성이 제일 좋았습니다.
또한 일단 컴파일이 되면 프로그램이 대부분 안정적으로 잘 동작한다는 것도 마음에 꽤 듭니다.
C/C++은 컴파일, 링크가 된 다음부터 시작인데,
Rust는 컴파일,링크만 되면 약간의 로직 오류만 해결하면 대부분 잘 동작하기 때문에,
디버깅 관련하여 매우 매우 생산성이 높아져서 웬만하면 소스 디버깅이 필요 없을 정도가 된다는 것이 정말 장점입니다.
소스 디버깅보다 그냥 println!을 사용하는 것이 더 편하다고 느껴질 정도네요^^;

그 외에 쓰레드 처리와 같은 것이 너무 편하고 잘 되어 있어서 좋았고,
마치 스크립트 언어와 같은 정도로 쉽게쉽게 개발을 진행할 수 있다는 것이 편하고 좋습니다.

어쨌든 Rust는 정말 강추입니다.",,4,2개월 전,2025-11-26 17:42:11,2025-11-26 17:42:11,
FbXQmI7IkZg,Ugy0Wq6VnV3-Xznp_6J4AaABAg,@PencilGon-s1q,저도 파이썬을 인터페이스 언어로만 생각 했는데 같은 생각이였네요! 결국 깊게 들어가면 CUDA를 사용해야겠다는 생각이였고 제 학위 논문에도 CUDA를 사용했는데 결국 코어는 C++이였죠. 다만 간편하게 접근해 결과를 도출할때에는 파이썬이 편리하다고 생각하고 있긴합니다. 그러나 오늘 영상으로 RUST도 배워야 겠다는 생각이 드네요 ㅠㅠ,,2,2개월 전,2025-11-26 17:42:11,2025-11-26 17:42:11,
FbXQmI7IkZg,Ugw2bKRG-BellpKXPlB4AaABAg,@jungmosohn3866,"저도 인공지능으로 파이썬을 먼저 배우고 사용하였습니다만 사실 기존 모델들 돌리기는 파이썬이 아직은 괜찮다고 봅니다. 미래에는 알 수 없지만요. 하지만 사실 AI의 컨볼루션 레이어에 조금만 기능 변경하려고 해도 결국 코어인 C++를 알아야 되더군요. 결국 기존 만들어진 모델에 데이터를 적용하는 것 이외에는 어렵고, 새로운 모델을 연구하기 위해서는 C++이 꼭 필요함을 느꼈습니다. 단순 스크립트 키즈 레벨이라면 몰라도 조금만 깊게 AI를 연구하려 하면 파이썬의 한계가 명확해 지더라구요. Rust를 써보진 않았지만 만일 진지하게 AI를 연구하려는 사람이라면 C++과 CUDA 코딩에 대한 이해가 필수적이라고 생각합니다.",,1,1개월 전(수정됨),2025-11-26 17:42:11,2025-11-26 17:42:11,
FbXQmI7IkZg,UgwmuZJDaHTcYI_g47d4AaABAg,@JL-th5rr,"1. 진지하고 헤비하게 사용하기 시작할 때 한계에 부딪히는 일은 예전부터 있어왔고 앞으로도 그럴 것 (동적 타이핑 인터프리터의 한계)
2. 그렇다고 해서 점유율이 줄어들거란 생각은 안듦 프로토타입용으로 여전히 좋기 때문에
3. 생태계의 더 많은 발전을 위해 성능이라는 지표가 그렇게 중요한지 잘 모르겠음 언어마다 장단점이 있고 파이썬은 성능을 포기하고 생산성을 취한 언어로서 경쟁력이 있다고 생각
4. AI가 발전에 따라 성능이 좋은 언어가 각광받을 거라는 생각도 잘 모르겠음. 최소한의 코드 검수도 없이 전권 부여하는 방식이라면 모르겠으나 코드 검수를 해야 한다면 오히려 언어의 읽기 쉬운 특징도 중요하지 않을까 함
5. 최근 uv가 나오면서 가상환경 및 패키지 관리가 한결 쉬워졌고 빨라졌음 요즘은 uv로 통일되는 추세",,20,2개월 전,2025-11-26 17:42:11,2025-11-26 17:42:11,
