video_id,comment_id,author,content,parent_comment_id,likes,created_time,collection_time,valid_from_time,valid_to_time
PMTQNEkYNa0,UgzSeL9F4IMUBkmpTb94AaABAg,@kimfl,"파이썬 기초 강의는 21개 영상으로 나눠진 재생 목록과 약 3시간의 통합본 두가지로 제공됩니다.
통합본 : https://youtu.be/PMTQNEkYNa0
재생목록 : https://youtube.com/playlist?list=PL5bK87xH5V1yNr-2G9nMjBNlGp0_bduIr",,17,2년 전,2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,UgwHtQ6_sLdLleU7Qgx4AaABAg,@-Namul,"나만의 타임라인
06:21 윈도우11버전에서는 shift+ 오른쪽을 눌러야 window powershell 실행가능함
06:37 여기서 쓰다가 tab하는 이유는 나머지 이름들을 불러오는 기능인듯?
13:28 new terminal ctrl+shift+'
13:30 아무것도 없을때는 ctrl ' 만눌러도  terminal 생성가능",,9,1년 전(수정됨),2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,UgzEqMp9g1Xrc_rRylx4AaABAg,@yuchanmp,추억돋네 컴맹인 대학생이 코로나 초창기때 확진자 이동범위 위치를 파이썬으로 찾아 유퀴즈 출연 정확도 95%로,,5,4개월 전,2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,UgzNMFYwMyEn-0MkHTF4AaABAg,@PConOFF1,"쵝오네여~ 말투,목소리,내용,화면,음성 ,설명 등 명품강의!",,10,2년 전,2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,UgypYOiyWAPQlv0P_cR4AaABAg,@틱툭,너무고맙습니다❤ 다른강의들보다 집중도 업업업~~❤,,0,1개월 전,2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,Ugxzo8479inACtCoSrB4AaABAg,@JP-wr3ry,열공할께요! 감사합니다.,,1,2년 전,2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,UgyOxdBYjo3U990zmx14AaABAg,@retro_player00,좋은 영상 감사합니다 목소리 좋네요,,0,2년 전,2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,UgxsgQmoc7vibaT3oCB4AaABAg,@twkim5259,싸랑해요 ㅋ😝,,1,2년 전,2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,Ugwupypu9mBUm50GVPB4AaABAg,@seungukkim2544,정말 간결하고 좋은 강의 감사합니다!!! 마지막 클래스만 좀 갸우뚱 했는데 ...제가 부족해서...,,0,2년 전,2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,UgzT8tW-FhVqljoMVWp4AaABAg,@김준환-w7e,와...제가 들은 강의중에서 최고인듯요. 좋은 강의 감사합니다!,,1,9개월 전,2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,Ugz8AKXNE1abLLMwdl14AaABAg,@SCV_UFC,감사합니다...,,0,7개월 전,2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,UgwIcdPFXrEBCwTHCDd4AaABAg,@haj1126,"2:48:00 
이 부분을 들으면서 머리에 망치를 맞은 기분이었습니다. 이렇게 간단하게 설명할 수 있는 것을 이제야 깨닫다니. return값에 대한 어떤 설명도 이렇게 직관적으로 사람을 이해시켜주지는 않습니다. 이 강의 듣고 인프런에 들어가서 더 많이 배우겠습니다.",,9,2년 전,2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,UgzgKv5ISdf9QLP8mSh4AaABAg,@전영환-o6n,완벽한강의 😆감사합니다,,1,11개월 전,2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,Ugykdi1NbDXJFzIehWZ4AaABAg,@한해준-t6f,"강의 너무 잘 들어서 시청 마치고 리플 풀 매수 했습니다
감사합니다",,1,11개월 전,2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,UgxWbuDnz3CyfsrpPzt4AaABAg,@BenoKorean,"와!! 제가 파이썬 처음 배우는데, 이해가 쏙쏙 잘 되게 쉽게 가르쳐주시네요 : )",,0,3개월 전,2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,UgzVBQtMLJN7523PX9V4AaABAg,@김민욱-i5z,다른 강의들을 다 봤지만 정말 간략하게  잘 설명해주는 강의는 이게 처음이네요 이해가 속속 됩니다 ~!,,1,7개월 전,2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,UgyLqpBZ4bBQ5a3MJFx4AaABAg,@bh-nn1vi,진짜 인생 강의! 덕분에 파이썬 시험 잘 볼 거 같아요! 이해 못한 제가 진짜 잘 이해했습니다!! 늘 건강하시고 좋은 날만 가득하세요 :),,2,11개월 전,2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,UgwdjB3F6I6QUahE_rx4AaABAg,@jaekunyoo8509,"34:28 위치 구간 뒷자리  결승선 비유
2:48:00 동작함수 생성함수 구분  생성치 귀환
안녕하세요. 대단히 감사합니다.
여러 영상들을 통해 공부하는 초보자에요.
2배속으로 공부하는데 1시간40분이 금방 지났어요.
여러번 듣기만 해도 반복숙달이 쉬울 것같아요.

2023년 6월 12일 월   13시   태평양 시간",,8,2년 전,2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,UgyLah76qt7p86-TsPx4AaABAg,@babylonbiz10,처음 접하는 파이썬 강의 감사합니다🎉,,4,2년 전,2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,UgyXAmR1sQ80vsToRwJ4AaABAg,@91lod-d6f,1:22:20 완료!,,0,8개월 전,2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,UgzQ_9HGJxztcVmt6b94AaABAg,@김정욱-y3b,감사합니다! 파이썬 기초가 부족했는데 이 강의 듣고 어느정도 탄탄해졌어요. 이걸 바탕으로 응용하면서 공부하겠습니다!,,0,11개월 전,2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,UgyPoE-fpvDUmOZzrc94AaABAg,@username28diwmxi4,ㄹㅇ 댕 훌륭한 강의입니다.. html 배울땐 노잼이어서 때리치웠는데 파이썬은 너무너무 재밌어서 퇴근하고 이거 하기만 기다립니다. 심지어 자다가도 중간에 깨면 노트북 켜서 파이썬 강의 들으며 해보다가 다시 자곤하네요 ㅋㅋㅋ 파이썬 댕꿀잼...,,1,1년 전,2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,Ugz0Gxtk0nuwtpDJysF4AaABAg,@베타수학,초반에 접근이 좋았는데..갑자기 빨라져요. ㅋ 잠깐씩 끊어가면 좋을 듯 합니다. 뒤로가면 빨라도 될 듯한데..다른 파이썬 강의도 대부분 초반에 급 빨라져요. ㅋ,,2,6개월 전,2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,Ugz_jQjatI44dBN7Rfd4AaABAg,@lrr8275,1:50:40,,2,7개월 전,2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,UgxV9E5SbQdbR4HWaj54AaABAg,@jamyi9019,감사합니다!! 완독하였더니.. 비전공자라 아주 조금만 알것같습니다..ㅠㅠ list 같은 class 코드를 열어서 뜯어보면 공부가 되지 않을까 하는 생각도 드네요..,,0,9개월 전,2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,UgwyCvYmsBM-Ndi0Wat4AaABAg,@서지희-n1l,땡큐 쏘 머치,,0,1년 전,2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,UgxS3rp5BoV2Ti7ygM94AaABAg,@나는항상쌀국수가먹고,1:34:38,,0,1년 전,2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,UgycRQjEGUXoREg8yr94AaABAg,@SMB_SMMA,2023년 감사합니다,,0,2년 전,2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,Ugxsw5JS8BaOPFuy6_J4AaABAg,@보라보라쭈-q2x,11:03,,0,2개월 전,2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,UgxZw2JW9MIC6_LJ4Jd4AaABAg,@junkim4347,1:42,,0,8개월 전,2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,UgzF-0XW8jcP7zibMsp4AaABAg,@ABC-kf9pr,30:45,,0,8개월 전,2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,UgxBH8shSLDGUAQ417N4AaABAg,@그렇구나-x9o,vscode 실행할때마다 오른쪽 아래에 Do you want to install the recommended 'Python' extension from Microsoft for the Python language? 라고 뜨는데 설치 해야되나요??,,2,10개월 전,2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,Ugx9YBP6cXRXUwAoUXx4AaABAg,@ugirung610,26:08,,0,9개월 전,2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,UgyNYQ1aB1wtH8q06QB4AaABAg,@고얌이-t3e,57:26,,0,9개월 전,2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,UgzeN6j_Li95jEVqzQF4AaABAg,@아무것도아닙니다-j9j,1:43:38 이어보기,,0,6개월 전(수정됨),2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,UgzRneKNOqbNti9yYpZ4AaABAg,@그로구딘,개추,,0,7개월 전,2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,UgzQ4S_tqZuOj1ZNGKp4AaABAg,@GameBox895,13:13에는 line2부터 사용하시고 15:19부터는 line1뷰터 사용하시는데 이거 어떻게하나요?,,0,8개월 전,2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,UgxarOCgXLlLkB2dFrd4AaABAg,@우하하-r7v,36:09 대화형 모드라 길이 측정이 안된다고 하셨는데 대화 모드라 안된다는거는 앞의 len(“김플“)과는 뭐가 다른거죠?,,0,7개월 전(수정됨),2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,Ugx6IuCgtdNfEyTc6Gt4AaABAg,@강아지조아해,ㅇㄴ 최성보때메 이거함,,0,4개월 전,2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,Ugw27yBJiaOeP1EIhD54AaABAg,@junkim4347,1) 57:24,,0,8개월 전,2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,Ugyqp87h9PT5w3IL7Fh4AaABAg,@PConOFF1,"와~박쑤^^      허접 농담이나 자기자랑, 헛소리 한번 없는 강의였네요. 우한폐렴 창궐이후 등장한 아시아 최고의 파이썬 강사이십니다!  
엥간한 대학 전임강사나 교수보다 훌륭하십니다. 
계속 애쓰셔 후학들에게 지식전달을 부탁드립니다^^",,5,2년 전,2025-11-26 17:42:28,2025-11-26 17:42:28,
PMTQNEkYNa0,UgzQ76pT_9whz8inI1h4AaABAg,@paulwonyoon,미국 대학교에서 아나콘나의 스파이더로 프로그래밍 배우는데 이 영상으로 공부해도 될까요? 약간의 차이가 있는거 같아서 여쭈어봅니다.,,0,7개월 전,2025-11-26 17:42:28,2025-11-26 17:42:28,
