video_id,comment_id,author,content,parent_comment_id,likes,created_time,collection_time,valid_from_time,valid_to_time
T6z-0dpXPvU,UgyLLy3GvlWD_kGLkoZ4AaABAg,@nadocoding,"【신규 강의 안내】
✨ 챗GPT를 넘어서, 랭체인과 RAG로 만드는 AI 문서 Q&A 챗봇 강의
👉 https://bit.ly/nadoRAG

---

📚강의 자료(PDF) 가 필요하신분은 여기에서 받아주세요 ^^
👉 https://nadocoding.tistory.com/93",,108,3년 전(수정됨),2025-11-26 17:43:06,2025-11-26 17:43:06,
T6z-0dpXPvU,UgxoIUCjvtoQnQ9X00d4AaABAg,@trashcomputer8335,전에 올렸던 6시간짜리 영상보다 영상 훨씬 좋네요 이해도 더 잘되고 중간중간 문제 나오는 문제들도 너무 좋네요. 이런 영상이 조회수가 많이 나와야 하는데.. 화이팅 입니다,,24,1년 전,2025-11-26 17:43:06,2025-11-26 17:43:06,
T6z-0dpXPvU,UgwHRmkFhn3MiOYqN194AaABAg,@jjinyjang4072,후아... 이런분 나라에서 상줘야합니다.. 100분만에 객체지향개념까지.. 🤩,,9,2년 전,2025-11-26 17:43:06,2025-11-26 17:43:06,
T6z-0dpXPvU,UgyTYuiXhZuY6U5JKfN4AaABAg,@Deg-sg1ky,와 진짜 구독 좋아요 안할수 없는 영상ㆍㆍㆍ하나하나 이해되기 쉽게 예시들어주며 눈높이 교육까지.. 엔딩 빌드업에서 진짜 팬됨ㅋㅋㅋ,,6,3년 전,2025-11-26 17:43:06,2025-11-26 17:43:06,
T6z-0dpXPvU,UgxAmedfgM4rxGm4Dd54AaABAg,@왕댕댕-x6k,내가 이걸 왜 듣고있지 걍 파이썬이 뭐하는건가 궁금해서 와봤다가 시간 순삭당함 왜케 설명 재밌게해요 개쩐다,,8,2년 전,2025-11-26 17:43:06,2025-11-26 17:43:06,
T6z-0dpXPvU,Ugy1vB6IdHH85KbSOop4AaABAg,@Memory-park,진짜 대단한 자료입니다. 완전 제 스타일입니다. 선생님 덕분에 파이썬 빠르게 한번 훑고 긴 강의도 들을 예정입니다. 진심으루 감사드립니다!!!!!,,7,3년 전,2025-11-26 17:43:06,2025-11-26 17:43:06,
T6z-0dpXPvU,UgxtJqjYfrRcllLAmcZ4AaABAg,@론메-z1q,청각장애가있어 자막이 없는 강의는 보기가 어려웠는데 이건 한글 자막이 있어서 보기가 편하네용 감사합니다,,90,1년 전(수정됨),2025-11-26 17:43:06,2025-11-26 17:43:06,
T6z-0dpXPvU,UgzUiEx_-DR6atbb1wh4AaABAg,@김동현-f1k4c,"당신은 나의 빛과 소금, 3년전 파이썬 강의를 시작으로 C강의를 듣고 이후에 개발자로 취업할 수 있었습니다. 
이렇게 감사 인사를 드립니다.",,60,3년 전,2025-11-26 17:43:06,2025-11-26 17:43:06,
T6z-0dpXPvU,UgwQTS2-yA_p92Ev2MJ4AaABAg,@별빛속에,강의 올려주셔서 감사드립니다 좋은일만 생기시길 바랍니다,,2,2년 전,2025-11-26 17:43:06,2025-11-26 17:43:06,
T6z-0dpXPvU,UgzZqYXoumzxSFoQkwF4AaABAg,@StarkTower-h7p,훨씬 더 빠르고 쉽게 이해할 수 있는 것 같아요!,,5,3년 전,2025-11-26 17:43:06,2025-11-26 17:43:06,
T6z-0dpXPvU,UgwXViT1vBbEc5Y-34J4AaABAg,@사람-p7i,좋은 강의 만들어 주셔서 감사합니다. 복 받으실 거에요,,0,3년 전,2025-11-26 17:43:06,2025-11-26 17:43:06,
T6z-0dpXPvU,UgyLqrutmyy0PY41Td54AaABAg,@ililillillliliilll5117,1:13:39 핵심을 잘 알려주시고 중간에 연습문제들이 있어서 이해하기 좋았어요! 감사합니다!,,9,2년 전(수정됨),2025-11-26 17:43:06,2025-11-26 17:43:06,
T6z-0dpXPvU,UgzAM4AVWUASsUVmsY14AaABAg,@InfiniteTunes1,목소리도 좋으시고 설명도 너무 좋습니다. 감사합니다,,1,2년 전,2025-11-26 17:43:06,2025-11-26 17:43:06,
T6z-0dpXPvU,Ugz_qfAX7vMyiVffLJN4AaABAg,@hoya225,진짜 감사합니다. 100분을 거의 10일에 나눠보긴 했는데 ^^ 정말 기본 모든걸 알게 된거 같네요. 이제 실습문제 풀어보면 되겠습니다!!! 정말 감사해요!,,0,1년 전,2025-11-26 17:43:06,2025-11-26 17:43:06,
