video_id,comment_id,author,content,parent_comment_id,likes,created_time,collection_time,valid_from_time,valid_to_time
e0hEA69d4Dw,UgwcGImC0gNEw8R91yV4AaABAg,@gasperbb,차은우가 운영하는 중고차 가게는 무한 신뢰지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,95,3년 전,2025-11-26 17:44:04,2025-11-26 17:44:04,
e0hEA69d4Dw,Ugx3sKzI5ACqUyGQM854AaABAg,@서우-z5w,"진짜 학교 교수님이 함수 알려주셨을때 진짜 혼자 독학해야겠다 라는 생각이 들었는데,, 이거 보고 와 레전드다 라고 생각합니다 ㅋㅋㅋㅋ 교수님 퇴직하세요~",,3,2년 전,2025-11-26 17:44:04,2025-11-26 17:44:04,
e0hEA69d4Dw,UgyRGMKx6KwhSUVmpJ14AaABAg,@whitesmith5166,"말하는게 뭔가 약장수 같아요 ㅋㅋㅋ
안좋은 의미가 아니라 듣고있으면 빠져들게돼요 ㅋㅋㅋ 이해도 잘되고",,3,3년 전,2025-11-26 17:44:04,2025-11-26 17:44:04,
e0hEA69d4Dw,UgyY2LYdmHxc6rcWQdt4AaABAg,@유형기-j2v,"혼자 시작하면서 
어떤 영상을 봐도 잘 이해가 안됐는데 정말 이해잘되네요",,0,1년 전,2025-11-26 17:44:04,2025-11-26 17:44:04,
e0hEA69d4Dw,Ugz8NdU6yKVNepPqO994AaABAg,@물병자리-e4d,"제가 이 영상을 세글자로 정의해 보겠습니다.
레게노",,0,2년 전,2025-11-26 17:44:04,2025-11-26 17:44:04,
e0hEA69d4Dw,Ugzg2cA5KaffZ9sgmRF4AaABAg,@np42,최고입니다 이 영상은 시험공부에 도움이 되었습니다,,1,3년 전,2025-11-26 17:44:04,2025-11-26 17:44:04,
e0hEA69d4Dw,UgwzbKInOPXHpSIr8fx4AaABAg,@쩜쩜쩜-b2o,저희 교수님보다 더 잘 가르치시네요,,0,5개월 전,2025-11-26 17:44:04,2025-11-26 17:44:04,
e0hEA69d4Dw,Ugw8Zf-L9UWaCJGShoN4AaABAg,@준희-d2q,"함수가 너무 이해가 안 가서 이 강의 저 강의 다 들어봤는데 
다른 강의든 책이든 개념 알고 이거 들으니까 이게 얼마나 쉽게 알려주고 있는지 알겠어요 
문제는 아직도 함수를 다 이해하지 못했다는 거 ^^,,, 내 머리가 마법의 모자라서
입력 하면 바로 뿅 나오면 좋겠다 ㅜㅜㅜㅜㅜㅜㅜ",,1,3년 전,2025-11-26 17:44:04,2025-11-26 17:44:04,
e0hEA69d4Dw,UgxUPJrcxr68azfGhxR4AaABAg,@TheLeeSangCuhl,와 밑에 코몽님 말대로 와~ 가 절로 나옵니다. 함수 이해 안갔는데 절름발이였다가 두다리 다 쓸수있는 기분입니다. 파이썬 많이 올려주세요!!^^,,9,4년 전(수정됨),2025-11-26 17:44:04,2025-11-26 17:44:04,
e0hEA69d4Dw,Ugzel7L5emPVKH5I6fd4AaABAg,@twotwo9tnt,"함수란........ 이것으로 끝나네요.... (1.긴코드 축약  2.마법모자 만들기)
함수에 대해 그렇게 들어도 당췌 언제 어디에 써야 할지 몰랐는데....
강의를 듣고 나니 내맘대로 아무대나 쓰면 되는거 였네요...ㅎㅎㅎ
초보 입장에서 정말 귀에 쏙 들어 오네요...
감사합니다.^^",,2,4년 전(수정됨),2025-11-26 17:44:04,2025-11-26 17:44:04,
e0hEA69d4Dw,Ugzvb47ciNgrdpjZoth4AaABAg,@hereinspiration227,이보다 더 잘 설명하기는 불가능임 ㅎㅎ,,0,3년 전,2025-11-26 17:44:04,2025-11-26 17:44:04,
e0hEA69d4Dw,Ugzl86OeiW3AJkb0rzV4AaABAg,@빠꿍-m3g,"지렷다...
이거 완전지림",,0,4년 전,2025-11-26 17:44:04,2025-11-26 17:44:04,
e0hEA69d4Dw,UgwvD1ALaBhWwGic_FB4AaABAg,@AlexKIM-h9k,와 진짜 설명 잘하신다 감사합니다,,0,4년 전,2025-11-26 17:44:04,2025-11-26 17:44:04,
e0hEA69d4Dw,UgzBruYR8wKAKlFgrV14AaABAg,@젤리-h3b,감사합니다~,,0,2년 전,2025-11-26 17:44:04,2025-11-26 17:44:04,
e0hEA69d4Dw,UgwG5CgA7O1rBzg3E_F4AaABAg,@not_thing,와 저희 교수님보다 설명을 잘하세요,,0,4년 전,2025-11-26 17:44:04,2025-11-26 17:44:04,
e0hEA69d4Dw,Ugw6gd3MuYgR3KSFegF4AaABAg,@이창민-c5h,와.. 함수를 마법 모자에 비유하네..,,1,4년 전,2025-11-26 17:44:04,2025-11-26 17:44:04,
e0hEA69d4Dw,UgzR3uXSYDgM5mAY_GV4AaABAg,@Asoori_sis,와 이거다 진짜!! 눈높이 맞춰서 설명해주는게 쏙쏙 잘 들어오네요~!! 앞으로도 많이 만들어주세요 제발~~~,,41,5년 전,2025-11-26 17:44:04,2025-11-26 17:44:04,
e0hEA69d4Dw,UgxZ0WbEFI3OE1ZXKed4AaABAg,@ewon9901,와 파이썬 초본데 진짜 쉽게 잘 가르켜주심 ㄷㄷ,,0,3년 전,2025-11-26 17:44:04,2025-11-26 17:44:04,
e0hEA69d4Dw,Ugy7jRo6L4zB3_PBayt4AaABAg,@샌군,전화번호 단축기같은거군요,,0,3년 전,2025-11-26 17:44:04,2025-11-26 17:44:04,
e0hEA69d4Dw,UgxE6nAzQnPLicFC1e14AaABAg,@디즈니-n7t,직이네요~ 추천,,0,2년 전,2025-11-26 17:44:04,2025-11-26 17:44:04,
e0hEA69d4Dw,UgwjGnEoKNrOfmr3RDh4AaABAg,@hatdongdong,파이썬 더 만들어주세용 ㅠㅠ 다른강의는 이제 못보겠어요,,0,3년 전,2025-11-26 17:44:04,2025-11-26 17:44:04,
e0hEA69d4Dw,Ugx-A4jUZq7LSItFcSh4AaABAg,@TheJaebeomPark,best!,,0,3개월 전,2025-11-26 17:44:04,2025-11-26 17:44:04,
e0hEA69d4Dw,UgyszFdCNkFqu3psg6V4AaABAg,@그아줌마를놓아줘,내가 자네의 930번 구독자요 양반  후후,,0,4년 전,2025-11-26 17:44:04,2025-11-26 17:44:04,
e0hEA69d4Dw,UgwNiFxMMpTgeWJPeHJ4AaABAg,@parkheon2107,개쩐다,,0,4년 전,2025-11-26 17:44:04,2025-11-26 17:44:04,
e0hEA69d4Dw,UgyEeqHLsUBgNFK_YNl4AaABAg,@이상민-w8t,"와 진심 애플님 개쩔어요. 학교에선 교수가 함수 개같이 어렵게 설명해줘서 이해 1도 안갔는데
애플님 강의듣고 함수 깨달았습니다. 사랑합니다. 뽀뽀한번만 해드려도 될까요",,5,4년 전,2025-11-26 17:44:04,2025-11-26 17:44:04,
e0hEA69d4Dw,Ugxy8MtMqz7wnhfH_DZ4AaABAg,@myeonggeuncho-j9e,겁나 잘가르치네요.. 클래스도 부탁드려요ㅠㅠ,,0,4년 전,2025-11-26 17:44:04,2025-11-26 17:44:04,
e0hEA69d4Dw,UgxeuBQWDySqwFurQih4AaABAg,@kunkuncca6559,진짜 최고입니다 내리 3개 다들었어요!!,,3,4년 전,2025-11-26 17:44:04,2025-11-26 17:44:04,
e0hEA69d4Dw,UgxmxGMXfLRQASgibrJ4AaABAg,@tm3kim95,모자 (구멍) 12 3 3 1 ………?,,0,11개월 전,2025-11-26 17:44:04,2025-11-26 17:44:04,
e0hEA69d4Dw,Ugyv2JWLX6MTuF4ex5R4AaABAg,@구자현-c8u,왜 파일이 픽쳐스 폴더안에있는건가요??,,1,1년 전,2025-11-26 17:44:04,2025-11-26 17:44:04,
e0hEA69d4Dw,Ugyk9R5Cz8HotmRsi0Z4AaABAg,@다락공방-c4m,깔끔한 개념정리. 너무 감사합니다.,,0,4년 전,2025-11-26 17:44:04,2025-11-26 17:44:04,
e0hEA69d4Dw,UgzIaB_P30KlAoGu8-B4AaABAg,@djj3585,구독 박고 추천 누르고 갑니다. 취미겸 자기계발로 코딩 조금씩 배우고 있는데 이런 영상 너무 감사합니다.,,0,4년 전,2025-11-26 17:44:04,2025-11-26 17:44:04,
e0hEA69d4Dw,UgxuLzcBwQg75GyC9P94AaABAg,@조수현-o9r1g,안녕하세요 c언어를 좀 공부를 했었는데 파이썬도 도전을 해보고 싶어서 이곳 저곳 찾아 보고 있는데 혹시 파이썬에는 scanf같은 문법은 없나요?,,0,4년 전,2025-11-26 17:44:04,2025-11-26 17:44:04,
e0hEA69d4Dw,Ugx9BZbxetWLk7Hsh0h4AaABAg,@JKook808,안녕하세여 애플님 혹시 저 파이썬 사이트에서 파이썬 다운 받았는데 지금 쓰시는 UI랑 완전 다른데 혹시 뭐 사용 중이세요?,,0,2년 전,2025-11-26 17:44:04,2025-11-26 17:44:04,
e0hEA69d4Dw,UgyPbjkqvXcDXS9AaLh4AaABAg,@가득찬-t9u,: -> 클론을 사용하는 이유가 뭘까요..?,,0,2년 전,2025-11-26 17:44:04,2025-11-26 17:44:04,
e0hEA69d4Dw,Ugz-mPei-Kx276xXcyV4AaABAg,@Sambbo97,"진짜 온라인강의를 듣다가 너무 이해하기 힘들었는데(특히 함수..)
코딩애플님의 영상을보고 함수 부분을 완벽하게 이해됬습니다!",,8,5년 전,2025-11-26 17:44:04,2025-11-26 17:44:04,
e0hEA69d4Dw,UgyNEo9Y5BW6LCUARSJ4AaABAg,@코몽-h4q,"와 알기쉽게 설명해주셔서 감사합니다!
짱이예요 막 비유도 해주시고 뜻 풀이도 해주시고
정말 잘 봤어요 ㅠㅠ 짱",,0,5년 전,2025-11-26 17:44:04,2025-11-26 17:44:04,
e0hEA69d4Dw,UgyGDkJUZdVmWTMfpVV4AaABAg,@피자햄버거-f1t,"123, 456을 쓰면 숫자입니다라고 나왔으면 좋겠는데 어떻게 해야할까요..
input을 추가해줘야하나요??",,0,4년 전,2025-11-26 17:44:04,2025-11-26 17:44:04,
e0hEA69d4Dw,Ugyvd16tj6CpGi91-V54AaABAg,@123dasdc,"return 함수를 사용후 호출할때는
꼭 print() 으로 감싼 후 호출해야하나요?",,0,3년 전,2025-11-26 17:44:04,2025-11-26 17:44:04,
e0hEA69d4Dw,Ugymd5o56ZVDcieIa594AaABAg,@맘마리맘,"코딩애플님 2번째꺼 마법모자 따라하다가

'구멍'을 그낭 '빈칸'으로 이해해서 
def 모자( ):
  print( +1)
모자(123) 했더니 안되고, 

영상에서 처럼 '구멍'이라는 단어를 포함해서 했더니
 def 모자(구멍):
   print(구멍+1)
모자(123) 했더니 가르쳐주신대로 결과 값 123+1 이 나왔어요... 

저 왜 그런지 이해가 안되는데 (코린이라... ㅠㅠ) 

왜 '구멍'이라는 단어를 적어야만 하는지 혹시 알려주실 수 있으신가요",,2,3년 전,2025-11-26 17:44:04,2025-11-26 17:44:04,
