video_id,comment_id,author,content,parent_comment_id,likes,created_time,collection_time,valid_from_time,valid_to_time
yytWGELNeOI,Ugx4XqQn7f98_HUu43x4AaABAg,@jocoding,"곧 2023년 버전의 강의 리뉴얼 예정
---
(업데이트)2022년 버전의 리뉴얼 강의가 업로드 되었습니다!
▶https://youtu.be/KL1MIuBfWe0

점프 투 파이썬과 함께하는 파이썬 라이브 강의 편집본 1강입니다.

라이브 풀버전은 아래 링크에 있습니다~!
1강 라이브 풀버전 : https://youtu.be/1M9EOxQIT7k

편집본 재생목록 : https://www.youtube.com/playlist?list=PLU9-uwewPMe2AX9o9hFgv-nRvOcBdzvP5
풀버전 재생목록 : https://www.youtube.com/playlist?list=PLU9-uwewPMe2L7dC2us_C3LLwDL9vHQIx

책 구매하기 : https://coupa.ng/bDJBfK
(위 링크는 쿠팡 파트너스와 연결된 링크로 구매에 따른 일정액의 수수료를 지급받을 수 있습니다.)
---
이 영상은 이지스퍼블리싱의 협찬을 받아 제작되었습니다.",,34,5년 전(수정됨),2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,Ugz0RRaEA5sibcieGmZ4AaABAg,@dindinsoc560,"정말 코딩 아무것도 몰라도 님에게 듣다보면 전문가가 되버리는 느낌,, 강의 정말 쉽게 전달해주시네요.. 파이썬도 여기서 마스터 해보즈아",,27,5년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,Ugx34x_XD50oEkyeDmd4AaABAg,@대왕토끼-v9i,15:30 우왓 정구기 ㅋ 매의눈으로 발견스... ㅋㅋ 코딩수업 잼있어요 이해가 쏙쏙,,7,4년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,UgwTsSl3kZ6aefCobdh4AaABAg,@홍준기-s7m,학교 수업때문에 코딩을 접하고있는데 솔직히 수업만 듣고는 따라가기 벅찬 부분이 없잖아 있었는데 덕분에 더 쉽게 접근할수 있을거같습니다. 감사합니다.  앞으로도 좋은영상 부탁드려요. 응원하겠습니다.,,10,4년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,UgzUieCqWtttDhlluDt4AaABAg,@kmtv6014,미루다가 오늘 다시 1강 봤어요. 강의 내용도 좋고 어려운 내용을 쉽게 잘 설명해주셨네요. 목소리가 명료해서 듣기 좋습니다. 퍼펙트!!!,,11,5년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,UgxBn0iZYNw4HDaTkh94AaABAg,@PIYU-s9b,직장을 잃고 빌빌거리는 와중에 웹 제작? 이런쪽에 흥미가 생겨서 영상 보면서 하나하나 따라하니 너무 재밌네요 설명도 깔끔하시고 구독과 좋아요 박고갑니다!,,4,5년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,UgxovMbd7qdVLG-PMEl4AaABAg,@Colinminjunsswishck,"덕분에 파이썬에 흥미를 가지게 되었습니다.
좋은, 유익한 강의 감사합니다.",,2,3년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,UgwOz3n5H69Uxegrnrx4AaABAg,@클라라주미강팬,7:08 두둥탁! 예측?!?! 토토간다,,5,4년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,Ugy-fJpVvuJYJovu6rh4AaABAg,@초록청금석,와...... 이렇게 고급진 강의를 무료로 들을수 있다니 너무 기쁘네요.,,4,3년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,Ugy4faiq_zxitrZOjm14AaABAg,@startcoding.official,"역시나 깔끔한 강의 조코딩님
강의 너무 잘 만드시네요
제 워너비 입니다😚",,2,4년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,Ugxw3R5TMQZUhtGFv2N4AaABAg,@연소희-x3t,"조코딩님 1년전 영상을 보고있지만
정말 하시는 말씀이 귀에 쏙쏙잘들어와요",,2,4년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,Ugw72dzmzeGuoREKh4Z4AaABAg,@CodingOn,좋은 영상 감사합니다!! 파이썬은 많은 예제를 풀어보는 게 중요한 거 같아요! 어떤 언어든 마찬가지이지만요ㅎㅎ 또! 최종적인 목표를 정하는 것도 좋은 것 같구요!,,4,4년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,Ugw-nHvjOjZGoBJqGOt4AaABAg,@알차형,조코딩님 매일 좋은 영상 많이 많이 올려 주셔서 감사합니다 😃😃😃😃😃😃😃😃😃😃😃,,4,5년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,UgwKxDL3g_6LXfTcmrV4AaABAg,@디지탈노마드-v7v,선생님 새해복 많이 받으십시요,,0,3년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,UgxfIBz9JQbz-SipFYR4AaABAg,@DavidKang-r5b,강의가 정말 알찹니다. 앞으로 잘 보도록 하겠습니다.,,2,5년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,UgwQedl6DTkBOf1epTl4AaABAg,@코딩하는모아이,와 너무 재밌어요 ....,,1,4년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,Ugz8A6vPQ0hgk-0A7JR4AaABAg,@freedamu,"오 드디어 편집본이 올라왔군여
2강 라이브로 듣다가 책 주문했는데 오늘 왔습니닷
빨리 일요일이 됐으면 좋겠네여",,3,5년 전(수정됨),2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,Ugz1xNhBLcC05b4Wfkt4AaABAg,@유명훈-l5q,"예전의 조코딩 동물상 관련 영상을 보고 따라 만들어 보기도 하고 했다가 .. 최근에 파이썬 공부가 필요해서 찾아 보고 되었습니다.
괜히 조코딩 조코딩 하는게 아니네요 영상 잘봤어요 쭉 스터디 해볼께요 좋은 영상 감사합니다.",,3,4년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,UgyRs02FFkMa0rfiuud4AaABAg,@18h에이틴,출석이요! 무료강의 퀄이 정말 레전드네요,,1,4년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
