video_id,comment_id,author,content,parent_comment_id,likes,created_time,collection_time,valid_from_time,valid_to_time
zAkAZjmnS3c,UgzJC5kyy7vIrL9TRBV4AaABAg,@jocoding,"수업 페이지
https://jocoding.net/python

2023 점프 투 파이썬 강의 재생목록
https://youtube.com/playlist?list=PLU9-uwewPMe05-khW3YcDEaHMk_qA-7lI

교재: 점프 투 파이썬 (2023년 최신 2차 개정판)
https://link.coupang.com/a/1oTlC
(이 링크는 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다)
위키독스: https://wikidocs.net/book/1

목차
첫째마당. 파이썬 기초 익히기
02장 파이썬 프로그래밍의 기초, 자료형
00:00 자료형의 개념
01:30 변수의 개념
03:13 숫자형 자료형
10:50 문자열 자료형
46:30 리스트 자료형
01:09:28 과제 안내
01:10:26 VVIP 멤버십 후원 감사 인사

VVIP 멤버십 후원
SOOJIN BANG님, 졌잘싸치킨님, 그림자그림자님, 파라소프트웨어님, 뚱뚜루_수수또님, 니나노닐리리야님, David Choi님, James님, 차딩Charming coding TV님, 아부심벨님, 박상우님, prochild님, ㄴ님, 양아빠님, David Seo님, 부산busan소개introduce님, youngjin jung님, THX님, AI Beauty Artist님, JAEHUN LEE님, HJ P님, 김한영님 VVIP 후원 감사드립니다.
https://www.youtube.com/@jocoding/join

#파이썬 #코딩 #python #파이썬기초 #무료파이썬 #파이썬강의 #프로그래밍",,8,2년 전(수정됨),2025-11-26 17:43:42,2025-11-26 17:43:42,
zAkAZjmnS3c,Ugy8Kc4v_cYElnzLRm94AaABAg,@동필이-o9x,잘 배웠습니다!,,2,1년 전,2025-11-26 17:43:42,2025-11-26 17:43:42,
zAkAZjmnS3c,Ugz5Xh6JOsvN5OXhHth4AaABAg,@greenuiop,어떻게 이렇게 유치원생들도 이해할 수 있게끔 쉽게 알려 주지..? 태교하면서 배우면 애기가 파이썬 할 듯,,10,1년 전(수정됨),2025-11-26 17:43:42,2025-11-26 17:43:42,
zAkAZjmnS3c,Ugw-w8yPbjwJLoa3oLR4AaABAg,@user-nkmkj8241g,2강 완료! 조코딩 설명 넘 잘한다~ 최고!!,,0,3개월 전,2025-11-26 17:43:42,2025-11-26 17:43:42,
zAkAZjmnS3c,UgxboV6KE806HiaGYMZ4AaABAg,@Nose_Head,C계열 언어 공부하다가 파이썬 공부하니까 훨씬 간편하고 간단하게 생기기는 했네요 심화로 들어가면 난이도는 비슷하겠지만..,,2,1년 전,2025-11-26 17:43:42,2025-11-26 17:43:42,
zAkAZjmnS3c,UgznF69YJiI9eKQtZLx4AaABAg,@오나영-v8c,"여기까진 알겠고, 시험 4주 남았는데 귀로 듣고 써보고 되뇌이고 오늘밤에 열심히 하겠습니다.17분집중완!",,0,8개월 전(수정됨),2025-11-26 17:43:42,2025-11-26 17:43:42,
zAkAZjmnS3c,UgwKXJpXKa02OfhxIdN4AaABAg,@joyluffy,"중3 때 베이직 책을 보는데 ""변수"" 라는 용어가 이해가 안 되어서 몇 주 정도 고민했던 기억이... 인터넷도 없던 시절이라
역시 잘 알려주시네요 ㅎ",,0,10개월 전,2025-11-26 17:43:42,2025-11-26 17:43:42,
zAkAZjmnS3c,Ugyfp_CkLTgfm0Urwot4AaABAg,@wonheemoves,자주 쓰면 외워진다는 말씀 감사합니다.,,0,1년 전,2025-11-26 17:43:42,2025-11-26 17:43:42,
zAkAZjmnS3c,UgxTEGuK96OnEFJKwN94AaABAg,@app6103,일일이 쳐봐야 능력을 키울수 있음,,1,1년 전(수정됨),2025-11-26 17:43:42,2025-11-26 17:43:42,
zAkAZjmnS3c,UgwQys0l1gHqTIgV8jN4AaABAg,@Onpa0104,250722 공부했습니다. 감사합니다.,,0,4개월 전,2025-11-26 17:43:42,2025-11-26 17:43:42,
