author,comment,published,likeCount,reply_to
@jocoding,"뒷 부분이 싱크가 안맞는 오류가 있어서 아래 재생목록을 통해 분할된 강의 수강을 권장드립니다.
https://www.youtube.com/playlist?list=PLU9-uwewPMe05-khW3YcDEaHMk_qA-7lI

교재: 점프 투 파이썬
https://link.coupang.com/a/bIrISW
(이 링크는 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다)
위키독스: https://wikidocs.net/book/1

목차
00:00:00 강의 소개
00:00:16 01장 파이썬이란 무엇인가?
00:51:46 02장 파이썬 프로그래밍의 기초, 자료형 (1) - 숫자형, 문자열, 리스트
02:01:11 02장 파이썬 프로그래밍의 기초, 자료형 (2) - 튜플, 딕셔너리, 집합, 불
03:04:09 03장 프로그램의 구조를 쌓는다! 제어문 - 조건문 if, 반복문 for, while
04:18:12 04장 파이썬의 입출력 - 함수, 사용자 입출력, 파일 읽고 쓰기, 프로그램의 입출력
05:33:45 05장 파이썬 날개 달기 - 클래스, 모듈, 패키지, 예외 처리, 내장 함수, 라이브러리
07:01:58 06장 파이썬 프로그래밍, 어떻게 시작해야 할까?
07:29:24 07장 파이썬 날아오르기 - 유니코드, 클로저, 데코레이터, 이터레이터, 제너레이터
07:59:21 08장 정규표현식
08:37:58 VVIP 후원 감사 인사

VVIP 멤버십 후원
빵쌤의 알고리즘님, 그림자그림자님, 라다님, 차딩Chading TV님, 아부심벨님, prochild님, turtleday터틀데이님, AI Beauty Artist님, eyuri chi님, 밤B님, 정진균님, 서보성님, NG K님, Tae hwan Kim님, 엠이에스코리아님, 완벽한올챙이님 감사드립니다.
https://www.youtube.com/@jocoding/join

[🎁2024 통합본 기념 점프 투 파이썬 공부 다짐 댓글 이벤트 당첨자🎁]
당첨을 축하드립니다! 책은 이지스퍼블리싱 출판사에서 이번 주 중으로 보내주실 예정입니다.
점프 투 파이썬 책(20명)
@que_bic
@jjdjimv
@user-tx6rx5jq9o
@BUNGKOOKI
@Kimramen123
@gichan-song
@juhwangdy
@castlejunis7039
@user-ix7dt7nr6x
@zzangkim1596
@chanhood
@kkchong21
@kylekim9079
@hanakim2678
@20918이정우
@user-lr1lf7bt3p
@insaneah6714
@wist000
@enos9149
@youngjunlee5028",2024-07-05T13:01:56Z,53,
@키_작은_꼬마,앗! 아쉽게도 당첨 못됐네요 ㅠㅠ 그래도 교보문고가서 당장 책사서 공부해볼게요★,2024-07-15T00:49:32Z,0,@jocoding
@윤zi존-u7v,감사합니다 꼭 열심히 하겠습니다!!,2024-07-15T01:13:09Z,1,@jocoding
@hjunjour,우와 너무 감사합니다!!! 열심히 할게요🙇🏻‍♀️💪,2024-07-16T11:51:57Z,0,@jocoding
@kkchong21,@jocoding 진짜 감사합니다! 🥹🥹🥹 열심히 볼게요,2024-07-17T09:08:38Z,0,@jocoding
@P-s6w-f4l,"내나이 10대 후반에 비주얼베이직에 C언어와 자바 와 리눅스까지 마스터하고 어도비의 거의 모든 플그램 포샵 일러 인디자인 프리미어와 3D 에프터 이펙터까지,,,
다만 영상 색조정은 다빈치 리졸브가 최강이라서 그것도 마스터 한후 음악 스튜디오의 기반이 되는 DAW와 큐베이스를  끝내고,,
파이썬의 공부가 끝나고 나니까 어언...30살이 다 되어가고 있었다...세상 참..지금은 화이트 해커로 활동 하는데...에휴 젊은 시절이 다 가버려서....
근데 웃기는게 정작 문서작성을 못해서 (ppt) 한달간 워드며 액셀 파워포인트..결국 나중엔 액셀의 매크로 또한 커스텀화 시켜..별걸 다 맹글어 봤지만...이젠...
감이 점점 떨어진다..한참 코딩할때의 집중력등이... 컴 인생 전성기 평균 10대중후반~20대초중반..인것 같다",2025-11-16T06:31:59Z,0,
@한울youtube-n2h,1:15:04 1:28:45,2025-11-15T08:41:40Z,0,
@나이스샷-v2n,진짜 gpt는 혁명임 ㅋㅋㅋ,2025-11-03T16:52:04Z,0,
@민철강,컴퓨터를 아무것도 모르는 사람이 봐도 이해가 빠르고 좋네요!!!!! 감사합니다,2025-11-03T15:17:24Z,1,
@Eoeurue,감사합니다 덕분에 자바스크립트를 마스터 하게 되어 나사에 입사하게 되었습니다 ❤❤,2025-10-24T07:23:20Z,5,
@user-master2012,ㅋㅋ,2025-11-05T14:24:16Z,0,@Eoeurue
@우리는하나요,열심히 하겠습니다,2025-10-23T02:29:17Z,0,
@Aplus-yn4do,"3:39:20
3:50:28
3:57:09 4:06:25

1:14:08
1:31:15
1:38:11 리스트",2025-10-21T18:29:06Z,0,
@구구단-i1i,컴퓨터는 64비트인데 32비트 다운받아도 되나요 주식용으로 사용예정 + 일반용으로 사용예정(둘다 사용),2025-10-17T09:22:06Z,0,
@MOSOOSHIN,"파이썬에 기본을 매우 자세히 알려주셔요
^-^",2025-10-15T08:01:58Z,0,
@무-u4y,딕셔너리 2:13:46,2025-10-14T17:41:51Z,0,
@CodingJoJo,Chat GPT 믿고 알려주는대로 했는데도 안바뀌는데 진짜 미치겠네요 누구 아시는분 댓글좀 달아주세요...,2025-10-11T19:16:20Z,0,
@CodingJoJo,"이것만 나오네요 진짜 미치겠네요 몇시간째 붙들고 있는데 밤다샜어요
>>> print(""="" * 50)
==================================================",2025-10-11T18:57:29Z,0,
@CodingJoJo,vscode 파이썬 스크립트 모드 바꾸려는데 아무리 해도 안되네요 이거 왜그러죠 ㅠㅠ.. 아 진짜 미치겠다 오늘 하루종일 이것만 하다가 몇시간 지나네요,2025-10-11T18:43:58Z,0,
@CodingJoJo,"저는, 두줄 작성하면 shift+Enter을 각각 해야 이게 한번에 적용되는데 조코딩 님처럼.. 그냥 두줄 작성 후 한번에 shift+Enter 적용은 안되나요? 안되는 이유가 뭘까요? 저는 MacOS사용자입니다.",2025-10-11T18:07:30Z,0,
@CodingJoJo,46:25 두개다 출력안되고 world만 됩니다 ㅜㅜ 어케해야될까요? 컨트롤 슬래쉬해도 주석도 안돼요 맥OS라서 그런가요 ㅠ.ㅠ..,2025-10-11T15:31:44Z,0,
